id,record_time,status,+24V_max_current,-24V_max_current,+24V_working_current,-24V_working_current,+9V_working_current,circuit_disconnect_freq,circuit_disconnect_time,command_judge_time,first_pulse_time,second_pulse_time,third_pulse_time,photoelectric_freq,system_recognition,mode1_level,mode2_level,mode1_pulse_width,mode2_pulse_width
1,2024-01-01 08:00,正常,2.6,2.3,266,256,84,118,5.5,0.77,0.86,0.55,0.58,2.8,11.9,5.3,-5.2,32.96,35.02
2,2024-01-01 08:10,正常,2.6,2.7,278,283,98,120,4.2,0.8,0.82,0.57,0.54,2.8,12.0,5.1,-4.6,33.0,34.98
3,2024-01-01 08:20,模式1电平过低故障,2.2,2.5,232,254,98,111,3.7,0.73,0.86,0.53,0.54,1.7,11.9,4.4,-5.2,32.97,35.05
4,2024-01-01 08:30,正常,2.5,2.6,274,209,77,115,4.5,0.75,0.84,0.52,0.54,1.6,11.9,5.4,-5.0,33.03,35.04
5,2024-01-01 08:40,正常,2.4,2.8,244,264,78,120,5.2,0.74,0.88,0.56,0.54,2.3,12.1,5.4,-4.7,33.02,34.95
6,2024-01-01 08:50,模式2电平过低故障,2.4,2.2,237,233,96,130,4.2,0.71,0.87,0.55,0.53,1.3,12.0,4.8,-5.8,32.95,35.05
7,2024-01-01 09:00,正常,2.2,2.5,277,277,77,116,3.0,0.71,0.83,0.53,0.55,2.8,11.9,4.9,-5.1,32.99,35.04
8,2024-01-01 09:10,第一脉冲时间过长故障,2.1,2.7,284,212,76,121,5.2,0.73,0.91,0.53,0.54,2.7,12.0,4.8,-5.2,33.04,35.03
9,2024-01-01 09:20,正常,2.9,2.3,270,287,87,127,4.4,0.71,0.86,0.53,0.52,2.5,12.0,5.3,-4.9,33.03,35.05
10,2024-01-01 09:30,正常,2.2,2.3,238,263,82,119,4.8,0.8,0.85,0.52,0.56,2.3,12.0,5.3,-4.7,33.01,34.97
11,2024-01-01 09:40,光电频率过低故障,2.0,2.6,234,248,98,120,3.0,0.76,0.85,0.54,0.57,0.6,11.9,5.4,-4.7,33.01,35.0
12,2024-01-01 09:50,第二脉冲时间过短故障,2.9,2.7,266,261,83,121,4.8,0.74,0.87,0.5,0.53,1.6,11.9,4.6,-4.6,33.03,35.01
13,2024-01-01 10:00,正常,2.4,2.5,220,254,82,125,3.8,0.75,0.84,0.52,0.56,1.6,12.1,4.6,-5.1,32.97,34.98
14,2024-01-01 10:10,正常,2.7,2.2,211,229,77,125,5.5,0.71,0.88,0.53,0.58,1.0,12.0,4.9,-4.8,33.02,35.04
15,2024-01-01 10:20,正常,2.3,2.5,266,230,78,125,5.4,0.71,0.88,0.57,0.55,1.8,11.9,4.8,-5.4,33.0,34.96
16,2024-01-01 10:30,+24V稳定电流超标故障,2.0,2.6,337,204,92,121,4.2,0.72,0.87,0.55,0.55,1.6,11.9,4.8,-5.5,33.0,35.01
17,2024-01-01 10:40,电路断开频率过高故障,2.7,2.6,256,266,82,147,3.6,0.74,0.84,0.52,0.57,2.1,12.1,4.5,-5.0,32.98,35.01
18,2024-01-01 10:50,指令判断时间过长故障,2.3,2.8,229,261,78,111,4.7,0.89,0.84,0.57,0.54,1.8,12.0,5.3,-4.5,32.96,34.98
19,2024-01-01 11:00,正常,2.2,2.1,230,278,95,114,3.0,0.72,0.82,0.53,0.53,1.7,11.9,4.6,-4.9,32.99,35.02
20,2024-01-01 11:10,正常,2.7,2.2,213,270,70,111,4.0,0.78,0.87,0.57,0.53,1.1,12.0,5.4,-5.4,32.99,35.0
21,2024-01-01 11:20,正常,2.0,2.6,238,236,80,104,4.6,0.79,0.85,0.54,0.57,2.2,12.0,4.6,-5.2,32.97,35.0
22,2024-01-01 11:30,系统识别电压过高故障,2.4,2.9,269,259,90,117,4.9,0.72,0.84,0.57,0.53,3.0,12.3,4.6,-5.3,33.04,34.99
23,2024-01-01 11:40,正常,2.2,2.3,263,249,70,113,4.0,0.78,0.87,0.53,0.55,1.7,12.1,5.0,-4.6,32.99,35.0
24,2024-01-01 11:50,正常,2.8,2.9,203,251,87,117,4.8,0.76,0.84,0.53,0.57,1.1,12.1,5.5,-4.6,32.98,34.98
25,2024-01-01 12:00,正常,2.6,2.0,201,282,71,123,4.6,0.77,0.84,0.56,0.54,1.1,12.1,5.3,-5.1,33.04,35.03
26,2024-01-01 12:10,指令判断时间过短故障,2.7,2.8,290,217,87,103,5.1,0.63,0.85,0.52,0.53,1.1,12.1,5.2,-4.6,33.01,35.03
27,2024-01-01 12:20,系统识别电压过低故障,2.1,2.3,228,216,86,120,3.1,0.75,0.86,0.55,0.53,1.5,11.7,5.3,-5.0,33.04,35.05
28,2024-01-01 12:30,光电频率过高故障,2.8,2.7,208,252,97,118,3.3,0.73,0.87,0.57,0.55,3.4,12.1,5.4,-5.1,32.97,35.03
29,2024-01-01 12:40,正常,2.2,2.8,216,215,81,120,4.9,0.8,0.82,0.52,0.53,2.8,12.0,5.2,-5.3,32.97,35.04
30,2024-01-01 12:50,正常,2.7,2.8,225,214,95,110,3.5,0.78,0.86,0.54,0.54,2.4,12.0,4.8,-4.8,32.98,34.97
31,2024-01-01 13:00,正常,2.7,2.7,203,241,84,120,4.6,0.76,0.86,0.53,0.57,1.2,12.1,4.9,-4.9,32.98,34.97
32,2024-01-01 13:10,指令判断时间过短故障,2.2,2.1,220,201,99,126,4.9,0.64,0.82,0.53,0.53,2.8,11.9,4.9,-4.6,32.99,35.01
33,2024-01-01 13:20,正常,2.1,2.5,262,252,73,108,3.7,0.8,0.85,0.56,0.57,1.8,12.1,5.5,-4.8,33.02,35.02
34,2024-01-01 13:30,模式1电平过低故障,2.5,2.7,234,209,83,127,3.4,0.72,0.84,0.56,0.54,1.4,11.9,4.0,-5.4,33.0,35.0
35,2024-01-01 13:40,正常,2.4,2.7,228,270,75,104,5.0,0.78,0.87,0.58,0.57,1.8,12.0,5.4,-5.0,32.95,35.05
36,2024-01-01 13:50,正常,2.7,2.8,210,244,86,129,3.3,0.77,0.85,0.56,0.53,2.4,12.0,4.6,-5.2,33.01,34.99
37,2024-01-01 14:00,正常,2.3,2.4,271,243,98,127,4.7,0.75,0.82,0.58,0.54,1.7,12.0,4.6,-4.6,33.01,34.98
38,2024-01-01 14:10,指令判断时间过短故障,2.0,2.2,209,239,83,123,4.5,0.61,0.88,0.53,0.54,2.8,12.0,5.2,-4.8,33.03,34.98
39,2024-01-01 14:20,模式2脉宽过短故障,2.8,2.3,239,287,71,104,4.4,0.76,0.86,0.53,0.55,1.4,12.0,5.2,-4.8,33.02,34.89
40,2024-01-01 14:30,正常,2.4,2.8,206,232,75,116,5.4,0.75,0.86,0.54,0.54,1.8,12.0,4.9,-5.1,32.99,35.01
41,2024-01-01 14:40,正常,2.7,2.7,288,211,83,120,4.3,0.75,0.87,0.54,0.54,2.7,12.1,5.4,-4.5,33.01,35.04
42,2024-01-01 14:50,正常,2.5,2.7,279,235,97,111,3.1,0.75,0.83,0.57,0.58,2.1,12.0,5.1,-4.9,33.03,34.99
43,2024-01-01 15:00,正常,2.0,2.6,242,287,88,130,4.5,0.74,0.85,0.54,0.57,1.3,11.9,5.1,-4.6,32.96,35.02
44,2024-01-01 15:10,第二脉冲时间过短故障,2.2,2.4,228,244,94,100,3.4,0.79,0.88,0.49,0.57,2.0,12.0,5.2,-4.6,32.97,35.02
45,2024-01-01 15:20,-24V稳定电流超标故障,2.3,2.3,231,311,78,119,3.0,0.76,0.87,0.56,0.57,1.9,12.0,4.9,-4.6,32.99,34.98
46,2024-01-01 15:30,正常,2.9,2.5,277,234,83,103,3.1,0.76,0.83,0.55,0.56,2.7,12.1,5.1,-5.2,33.0,35.03
47,2024-01-01 15:40,第一脉冲时间过长故障,2.4,2.8,266,206,88,128,4.7,0.71,0.91,0.54,0.55,1.1,12.0,4.9,-5.1,33.05,35.03
48,2024-01-01 15:50,第一脉冲时间过短故障,2.3,2.8,285,263,98,105,3.8,0.7,0.79,0.56,0.53,2.9,12.1,5.4,-5.2,33.01,35.0
49,2024-01-01 16:00,正常,2.1,2.3,267,218,86,115,3.6,0.76,0.86,0.53,0.53,1.2,12.0,5.3,-4.9,32.98,34.95
50,2024-01-01 16:10,正常,2.5,2.4,268,290,89,119,4.2,0.73,0.84,0.55,0.53,1.9,12.0,4.8,-5.1,32.97,35.03
51,2024-01-01 16:20,第三脉冲时间过长故障,2.6,2.5,251,227,86,117,4.2,0.73,0.86,0.53,0.59,1.4,12.0,5.2,-5.0,32.98,35.01
52,2024-01-01 16:30,模式2脉宽过短故障,2.5,2.2,278,261,72,116,3.4,0.77,0.87,0.53,0.56,1.0,12.0,4.8,-5.4,33.01,34.9
53,2024-01-01 16:40,正常,2.6,2.1,237,250,90,122,4.6,0.79,0.82,0.53,0.58,2.0,12.0,4.6,-4.7,33.04,35.01
54,2024-01-01 16:50,模式2电平过高故障,2.2,2.5,214,237,96,119,3.7,0.71,0.87,0.54,0.58,2.1,12.0,5.2,-4.4,32.98,35.0
55,2024-01-01 17:00,系统识别电压过低故障,2.7,2.6,231,258,94,101,5.2,0.75,0.83,0.58,0.57,2.3,11.6,4.9,-5.5,33.02,34.97
56,2024-01-01 17:10,正常,2.3,2.0,257,261,83,113,5.4,0.71,0.86,0.56,0.54,1.9,12.0,4.7,-5.3,33.04,34.98
57,2024-01-01 17:20,电路断开频率过高故障,2.3,2.8,284,225,87,131,5.1,0.73,0.88,0.52,0.58,2.0,12.0,5.4,-5.2,33.02,35.03
58,2024-01-01 17:30,正常,2.7,2.8,221,240,96,126,5.3,0.8,0.85,0.56,0.55,2.9,12.0,4.8,-5.2,32.97,34.99
59,2024-01-01 17:40,正常,2.1,2.7,280,289,81,108,4.0,0.74,0.87,0.53,0.56,1.1,12.0,5.3,-4.7,32.95,35.0
60,2024-01-01 17:50,正常,2.0,2.8,217,283,74,128,3.1,0.77,0.84,0.57,0.52,2.1,11.9,5.1,-4.9,33.0,35.0
61,2024-01-01 18:00,正常,2.6,2.1,247,265,85,107,5.0,0.79,0.85,0.53,0.55,1.7,11.9,4.8,-4.8,33.05,35.04
62,2024-01-01 18:10,正常,2.2,2.0,244,211,98,129,3.8,0.71,0.84,0.55,0.55,1.6,12.1,5.3,-5.0,32.99,34.98
63,2024-01-01 18:20,模式1脉宽过短故障,2.4,2.4,203,263,81,121,5.0,0.79,0.87,0.55,0.56,2.9,12.0,5.2,-4.9,32.92,34.99
64,2024-01-01 18:30,正常,2.4,2.6,267,264,72,101,5.1,0.8,0.82,0.56,0.56,2.6,12.1,4.8,-5.4,33.03,34.98
65,2024-01-01 18:40,正常,2.2,2.8,262,212,97,123,4.1,0.74,0.88,0.55,0.53,1.7,12.0,4.8,-4.8,33.01,34.97
66,2024-01-01 18:50,正常,2.3,2.2,282,222,74,103,3.0,0.74,0.87,0.57,0.55,1.4,12.0,5.3,-4.7,32.95,35.05
67,2024-01-01 19:00,正常,2.8,2.0,261,227,99,127,4.2,0.72,0.84,0.52,0.56,1.3,12.1,5.1,-5.0,33.03,34.98
68,2024-01-01 19:10,模式2电平过高故障,2.1,2.8,290,289,91,123,3.3,0.73,0.84,0.54,0.55,1.1,12.1,5.4,-4.2,32.97,34.98
69,2024-01-01 19:20,正常,2.1,2.2,205,240,91,108,4.5,0.79,0.88,0.54,0.56,1.7,12.0,5.2,-4.9,33.05,35.0
70,2024-01-01 19:30,正常,2.1,2.6,210,257,84,121,5.2,0.72,0.86,0.55,0.56,2.2,12.1,5.5,-4.9,33.02,35.01
71,2024-01-01 19:40,正常,2.7,2.1,246,274,96,129,3.7,0.77,0.83,0.57,0.55,1.9,12.1,5.3,-4.7,32.96,35.0
72,2024-01-01 19:50,光电频率过高故障,2.7,2.6,259,268,86,101,3.3,0.78,0.86,0.52,0.56,3.8,12.0,5.3,-5.0,33.02,35.01
73,2024-01-01 20:00,正常,2.2,2.6,235,221,89,103,3.9,0.75,0.87,0.58,0.57,2.8,11.9,5.3,-4.8,32.95,34.95
74,2024-01-01 20:10,+24V最大电流超标故障,3.1,2.3,280,200,81,126,3.0,0.75,0.87,0.53,0.54,1.9,12.1,5.3,-4.9,32.97,34.96
75,2024-01-01 20:20,系统识别电压过低故障,2.5,2.2,266,283,97,120,4.7,0.76,0.85,0.55,0.55,2.3,11.5,5.1,-4.8,32.98,35.03
76,2024-01-01 20:30,电路断开时间超标故障,2.5,2.6,216,275,78,117,6.7,0.75,0.84,0.55,0.57,1.9,12.0,5.2,-5.5,33.03,35.0
77,2024-01-01 20:40,第一脉冲时间过短故障,2.0,2.3,246,200,94,126,4.1,0.7,0.8,0.54,0.57,1.7,12.1,5.0,-5.2,33.04,34.97
78,2024-01-01 20:50,电路断开时间超标故障,2.4,2.3,230,276,86,130,6.9,0.71,0.86,0.54,0.55,2.2,12.0,4.6,-5.4,32.99,34.99
79,2024-01-01 21:00,指令判断时间过短故障,2.4,2.8,254,253,71,117,4.8,0.64,0.85,0.56,0.57,2.5,12.0,5.0,-4.8,32.98,34.95
80,2024-01-01 21:10,正常,2.1,2.3,205,289,86,126,3.4,0.75,0.86,0.52,0.55,2.5,11.9,5.3,-4.8,32.96,34.96
81,2024-01-01 21:20,第三脉冲时间过短故障,2.8,2.1,217,259,70,108,5.1,0.71,0.86,0.52,0.51,3.0,11.9,5.0,-4.8,33.0,35.03
82,2024-01-01 21:30,正常,2.5,2.4,228,288,88,113,3.8,0.8,0.88,0.54,0.53,1.2,12.1,4.8,-5.4,33.02,35.03
83,2024-01-01 21:40,正常,2.5,2.7,200,286,92,119,4.2,0.76,0.87,0.55,0.54,2.8,12.0,5.0,-5.4,32.99,35.05
84,2024-01-01 21:50,正常,2.4,2.8,220,214,71,111,3.9,0.74,0.83,0.55,0.58,1.3,12.0,4.8,-5.3,33.02,34.96
85,2024-01-01 22:00,正常,2.1,2.2,272,239,76,112,4.0,0.75,0.87,0.56,0.53,2.0,12.0,5.2,-4.9,32.97,34.99
86,2024-01-01 22:10,-24V最大电流超标故障,2.7,3.4,245,261,99,100,3.6,0.79,0.88,0.53,0.57,1.8,12.1,5.3,-4.7,33.03,35.04
87,2024-01-01 22:20,正常,2.5,2.8,229,269,80,105,3.5,0.71,0.86,0.58,0.55,2.5,12.1,4.8,-4.9,33.04,34.96
88,2024-01-01 22:30,第一脉冲时间过长故障,2.5,2.5,234,260,87,114,5.1,0.72,0.91,0.52,0.52,2.2,12.0,5.0,-5.4,33.04,35.05
89,2024-01-01 22:40,模式1电平过低故障,2.6,2.8,244,251,86,122,4.0,0.71,0.87,0.55,0.54,1.3,11.9,4.4,-4.9,33.01,35.03
90,2024-01-01 22:50,正常,2.9,2.9,238,230,80,106,3.6,0.8,0.86,0.53,0.52,2.1,12.0,4.6,-5.5,32.95,34.98
91,2024-01-01 23:00,模式1电平过高故障,2.3,2.2,255,289,82,111,4.8,0.73,0.87,0.56,0.55,1.8,12.0,6.0,-5.1,32.98,34.95
92,2024-01-01 23:10,-24V稳定电流超标故障,2.3,2.5,239,343,78,127,5.3,0.79,0.82,0.54,0.54,2.5,11.9,5.3,-5.0,33.03,35.04
93,2024-01-01 23:20,模式2电平过高故障,2.9,2.7,266,263,72,117,5.5,0.77,0.86,0.53,0.56,2.0,12.0,5.0,-3.9,32.99,35.02
94,2024-01-01 23:30,-24V最大电流超标故障,2.8,3.5,207,219,99,111,4.7,0.79,0.84,0.56,0.54,1.9,11.9,4.6,-5.5,32.97,35.02
95,2024-01-01 23:40,正常,2.2,2.5,285,235,74,107,3.4,0.76,0.88,0.55,0.56,2.8,12.0,5.4,-5.0,32.99,34.99
96,2024-01-01 23:50,系统识别电压过低故障,2.2,2.9,287,273,88,124,5.4,0.73,0.83,0.57,0.54,1.3,11.8,5.4,-4.7,32.99,35.01
97,2024-01-02 00:00,正常,2.6,2.0,219,217,92,105,4.6,0.75,0.83,0.53,0.58,2.2,12.0,4.7,-5.5,32.96,34.99
98,2024-01-02 00:10,正常,2.0,2.2,250,210,93,125,3.5,0.72,0.87,0.56,0.54,2.5,11.9,5.0,-5.0,33.02,35.02
99,2024-01-02 00:20,第三脉冲时间过短故障,2.2,2.9,252,264,86,109,5.5,0.77,0.86,0.55,0.5,2.9,12.0,4.9,-5.2,33.04,35.04
100,2024-01-02 00:30,第一脉冲时间过长故障,2.3,2.1,283,269,80,120,4.8,0.73,0.92,0.52,0.57,2.3,12.0,4.5,-5.0,33.04,35.01
101,2024-01-02 00:40,正常,2.2,2.9,243,241,73,115,3.4,0.79,0.86,0.56,0.57,2.7,12.1,5.3,-4.7,33.01,35.03
102,2024-01-02 00:50,指令判断时间过长故障,2.1,2.5,290,248,73,129,3.8,0.88,0.83,0.55,0.53,2.6,11.9,5.2,-5.0,32.96,34.99
103,2024-01-02 01:00,第一脉冲时间过短故障,2.6,2.6,224,223,90,121,4.2,0.77,0.8,0.56,0.58,2.5,12.1,5.4,-5.0,33.03,34.95
104,2024-01-02 01:10,正常,2.8,2.3,216,273,89,115,5.2,0.71,0.84,0.53,0.58,1.1,12.0,5.4,-4.7,32.96,35.02
