id,record_time,status,+24V_max_current,-24V_max_current,+24V_working_current,-24V_working_current,+9V_working_current,circuit_disconnect_freq,circuit_disconnect_time,command_judge_time,first_pulse_time,second_pulse_time,third_pulse_time,photoelectric_freq,system_recognition,mode1_level,mode2_level,mode1_pulse_width,mode2_pulse_width
1,2024-01-01 08:00,电路断开频率过高故障,2.5,2.8,284,227,97,147,4.4,0.71,0.85,0.53,0.58,2.4,12.1,4.7,-5.3,33.04,34.98
2,2024-01-01 08:10,+24V稳定电流超标故障,2.2,2.0,349,252,73,127,5.0,0.7,0.84,0.54,0.56,1.3,11.9,4.8,-5.3,32.97,35.02
3,2024-01-01 08:20,正常,2.3,2.6,237,249,96,108,3.0,0.73,0.88,0.56,0.54,2.7,11.9,4.8,-5.0,32.99,34.97
4,2024-01-01 08:30,正常,2.5,2.5,243,208,82,104,4.1,0.77,0.86,0.53,0.54,2.2,12.1,4.6,-4.7,32.96,34.98
5,2024-01-01 08:40,正常,2.1,2.9,276,221,73,102,3.5,0.75,0.83,0.55,0.54,1.2,12.1,5.0,-4.9,33.02,34.95
6,2024-01-01 08:50,正常,2.3,2.7,204,226,82,126,5.1,0.7,0.83,0.53,0.54,1.6,12.1,5.1,-4.6,32.95,34.99
7,2024-01-01 09:00,-24V稳定电流超标故障,2.6,2.6,289,327,77,105,4.9,0.78,0.86,0.56,0.52,1.7,11.9,5.4,-5.0,32.97,34.95
8,2024-01-01 09:10,正常,2.0,2.6,204,235,72,101,4.2,0.7,0.87,0.54,0.56,1.8,12.0,4.6,-5.5,33.02,34.99
9,2024-01-01 09:20,正常,2.2,2.7,219,209,95,130,5.3,0.79,0.84,0.55,0.55,2.3,11.9,4.6,-4.8,33.02,34.97
10,2024-01-01 09:30,第三脉冲时间过短故障,2.4,2.4,218,256,87,118,4.6,0.71,0.84,0.56,0.49,1.7,12.0,5.4,-5.0,32.97,34.96
11,2024-01-01 09:40,正常,2.3,2.8,209,258,95,123,3.8,0.7,0.86,0.56,0.55,1.6,11.9,5.1,-4.9,33.01,34.99
12,2024-01-01 09:50,-24V最大电流超标故障,2.9,3.6,200,226,92,110,3.4,0.78,0.85,0.53,0.53,1.6,12.0,4.9,-4.8,33.05,35.05
13,2024-01-01 10:00,系统识别电压过低故障,2.0,2.9,253,242,92,126,3.3,0.78,0.85,0.56,0.57,2.5,11.7,5.2,-5.0,33.03,35.03
14,2024-01-01 10:10,正常,2.2,2.3,281,253,89,104,4.1,0.74,0.82,0.52,0.55,1.6,12.0,5.0,-4.9,32.96,34.96
15,2024-01-01 10:20,正常,2.7,2.1,264,224,75,110,3.2,0.76,0.83,0.54,0.57,2.4,12.0,5.2,-5.4,33.03,34.99
16,2024-01-01 10:30,模式1脉宽过长故障,2.6,2.6,285,241,92,123,5.1,0.72,0.83,0.56,0.52,2.5,11.9,5.2,-4.7,33.13,35.01
17,2024-01-01 10:40,正常,2.7,2.4,238,212,84,128,3.2,0.74,0.85,0.58,0.55,1.9,11.9,5.2,-5.2,33.01,35.01
18,2024-01-01 10:50,正常,2.3,2.5,266,241,78,111,3.9,0.73,0.87,0.55,0.54,2.5,12.0,5.5,-5.1,33.02,35.02
19,2024-01-01 11:00,正常,2.8,2.1,216,259,87,120,5.0,0.76,0.86,0.55,0.57,1.6,12.0,4.7,-5.1,32.96,35.0
20,2024-01-01 11:10,正常,2.4,2.5,271,222,91,120,5.0,0.76,0.87,0.58,0.54,1.9,11.9,4.7,-5.1,32.95,35.0
21,2024-01-01 11:20,+24V最大电流超标故障,3.5,2.2,226,278,73,114,3.5,0.76,0.84,0.53,0.52,2.3,12.0,5.1,-5.2,33.01,35.02
