department,设备型号,设备名称,time,气压,流量,温度,湿度,露点,status
气压部B,PA-40,PA-40-006,2023-01-06 00:00:00,8.416598794434343,249.10802364629865,30.00418292472716,34.17567961345422,9.237071014593182,正常
气压部B,PA-40,PA-40-006,2023-01-06 01:00:00,8.043040156709335,302.532817645655,26.156926087038144,99.01459804407587,18.926177279787755,干燥器故障
气压部B,PA-40,PA-40-006,2023-01-06 02:00:00,6.414146878872909,287.0206048429971,16.22217734209537,96.45700839402987,23.942115256903094,干燥器故障
气压部B,PA-40,PA-40-006,2023-01-06 03:00:00,9.656205570459472,167.711819547545,27.30384355067941,91.23962897877436,21.823363516739075,干燥器故障
气压部B,PA-40,PA-40-006,2023-01-06 04:00:00,7.717420968961419,266.1716624195512,31.2117106353916,107.2959595784937,23.850618524817737,干燥器故障
气压部B,PA-40,PA-40-006,2023-01-06 05:00:00,7.032437736410512,223.54887512265273,27.239366063343592,34.504157690582716,10.860751494324155,正常
气压部B,PA-40,PA-40-006,2023-01-06 06:00:00,8.7456373301593,244.93134099746268,21.808992026687516,37.2553303956944,10.36152063854489,正常
气压部B,PA-40,PA-40-006,2023-01-06 07:00:00,8.55409438209826,207.69108649277024,25.901879773425545,57.8452565949765,9.41445963131121,正常
气压部B,PA-40,PA-40-006,2023-01-06 08:00:00,9.249149841716267,109.08931105692277,28.803793128414704,55.75995799942702,7.966194346056542,正常
气压部B,PA-40,PA-40-006,2023-01-06 09:00:00,6.587218353557149,281.26633313924526,29.562530990658704,40.52719211481975,6.637085799950223,正常
气压部B,PA-40,PA-40-006,2023-01-06 10:00:00,8.381434478069247,245.27037920350094,29.125581515861843,41.481312868619554,6.960537420755605,正常
气压部B,PA-40,PA-40-006,2023-01-06 11:00:00,5.669916018486292,234.07391395351942,20.509664541098132,29.505734895826578,11.163746073607316,正常
气压部B,PA-40,PA-40-006,2023-01-06 12:00:00,5.784377746393008,235.10944253857795,31.026988238807025,59.01815663293825,11.000606736300812,正常
气压部B,PA-40,PA-40-006,2023-01-06 13:00:00,9.023005017176015,147.90226549223567,26.229570450594828,42.88629660627041,11.804763726675091,正常
气压部B,PA-40,PA-40-006,2023-01-06 14:00:00,8.657152461568412,184.4734937611822,21.868074085157975,41.13674171286578,4.815333760497103,正常
气压部B,PA-40,PA-40-006,2023-01-06 15:00:00,9.451236336310648,248.58303713754492,33.86403489276694,48.532394312840665,14.025836701531786,正常
测试部,PA-40,PA-40-001,2023-01-13 00:00:00,5.83512343161782,149.8203706226148,30.123100568140654,55.907697486247734,5.11291596954499,正常
测试部,PA-40,PA-40-001,2023-01-13 01:00:00,8.637679191219654,281.96700081903776,25.138699125749756,45.444038370253814,9.32688213916147,正常
测试部,PA-40,PA-40-001,2023-01-13 02:00:00,8.232463369320504,273.8344926516204,19.38019920764678,42.52423822229709,9.959916975201729,正常
测试部,PA-40,PA-40-001,2023-01-13 03:00:00,8.136012169861045,146.6892960251739,33.36990667478462,36.72751595360524,5.5918419954828,正常
测试部,PA-40,PA-40-001,2023-01-13 04:00:00,6.630991132819695,192.1594139933431,29.261896596903192,53.706884227503615,7.851711962483388,正常
测试部,PA-40,PA-40-001,2023-01-13 05:00:00,5.86776425587338,237.5822520286053,22.222830912720422,33.01374815411896,8.332500084780158,正常
测试部,PA-40,PA-40-001,2023-01-13 06:00:00,6.433141925569686,212.94741727011265,21.561415700501396,33.17195937675753,9.656497347473323,正常
测试部,PA-40,PA-40-001,2023-01-13 07:00:00,10.129248459899802,167.68315823041377,24.496707936370502,43.327116961520055,9.235237210233597,正常
测试部,PA-40,PA-40-001,2023-01-13 08:00:00,7.385490858699221,273.60948154740015,24.127754753650198,45.58510724957011,5.336411283746414,正常
测试部,PA-40,PA-40-001,2023-01-13 09:00:00,8.558886770290272,170.82257801283518,28.156117274402753,48.90245845756397,11.238396873536898,正常
测试部,PA-40,PA-40-001,2023-01-13 10:00:00,9.607092106068524,282.2803354337935,24.12071582762007,48.63550296077711,10.831507152843784,正常
测试部,PA-40,PA-40-001,2023-01-13 11:00:00,9.758273509171833,241.74276393305618,29.04656501463296,30.340103519309604,13.554842907918012,正常
测试部,PA-40,PA-40-001,2023-01-13 12:00:00,8.594870758098127,276.78721748051225,22.64871786389449,35.3069899773079,5.690046857273592,正常
测试部,PA-40,PA-40-001,2023-01-13 13:00:00,6.681975318604186,194.15465492914163,23.93968609763039,51.5959818998976,8.624252981995882,正常
测试部,PA-40,PA-40-001,2023-01-13 14:00:00,9.369444625864132,160.0532372569766,16.524285469558592,46.213549983249806,13.955147370841608,正常
测试部,PA-40,PA-40-001,2023-01-13 15:00:00,6.956730332724408,224.72169908765068,28.91122091516453,28.944283979773473,10.148909497985926,正常
测试部,PA-40,PA-40-001,2023-01-13 16:00:00,8.842088115452324,149.81568589716733,22.653973605878836,46.8440813412882,8.75776953210783,正常
生产部C,PA-40,PA-40-003,2023-01-21 00:00:00,7.41811407109409,156.2788576955227,16.088372639124927,34.027344108730375,13.019194647255162,正常
