timestamp,device_id,department,temp,vibration,oil_pressure,voltage,rpm,故障类型
2024-04-27 14:45:00,DEV-028,研发部,92.18,3.62,12.68,215.67,2311.75,散热系统故障
2024-04-18 13:29:00,DEV-078,质检部,53.24,2.35,12.94,175.09,2139.19,电力供应故障
2023-10-11 20:44:00,DEV-056,研发部,49.37,0.93,9.45,194.95,2009.35,正常运行
2022-08-15 04:31:00,DEV-071,维修部,103.28,3.51,11.34,238.33,2073.2,散热系统故障
2022-09-20 18:00:00,DEV-069,研发部,37.54,1.66,15.0,214.7,1954.9,正常运行
2023-09-04 21:15:00,DEV-075,维修部,47.84,1.52,5.45,230.01,2036.22,正常运行
2022-11-24 21:56:00,DEV-030,研发部,57.43,2.32,5.13,225.11,2005.11,正常运行
2024-04-12 11:56:00,DEV-089,生产部,60.86,1.01,9.92,201.85,2285.65,正常运行
2023-11-05 17:23:00,DEV-088,生产部,63.57,0.98,7.77,215.75,2184.36,正常运行
2022-11-04 05:01:00,DEV-071,维修部,51.28,2.58,8.05,247.92,2055.17,正常运行
2023-11-25 08:35:00,DEV-032,生产部,71.89,2.36,6.53,226.98,2167.04,正常运行
2024-02-29 19:26:00,DEV-055,生产部,80.0,0.66,7.15,215.62,2123.09,正常运行
2023-12-27 06:55:00,DEV-008,质检部,89.37,4.2,10.02,225.3,2198.94,散热系统故障
2023-11-03 07:19:00,DEV-100,生产部,65.56,1.01,12.68,223.27,1941.06,正常运行
2024-08-30 22:23:00,DEV-059,研发部,90.81,3.91,8.86,228.75,2256.16,散热系统故障
2023-10-06 12:24:00,DEV-045,质检部,45.64,1.36,14.11,205.23,1909.75,正常运行
2022-07-05 22:07:00,DEV-003,生产部,39.79,1.61,10.9,219.28,2028.68,正常运行
2023-04-28 12:53:00,DEV-074,生产部,80.0,1.97,14.74,201.82,2431.95,正常运行
2024-08-09 18:31:00,DEV-076,生产部,57.31,0.61,15.0,220.89,2002.79,正常运行
2023-05-14 11:50:00,DEV-096,生产部,49.04,2.17,13.73,221.98,2072.29,正常运行
2023-12-07 21:12:00,DEV-053,维修部,65.16,1.08,14.06,180.0,2079.12,正常运行
2023-05-04 00:12:00,DEV-089,维修部,60.02,0.85,13.06,229.79,2166.73,正常运行
2023-08-11 08:09:00,DEV-071,维修部,66.09,1.27,5.0,216.86,2106.7,正常运行
2022-03-17 19:16:00,DEV-067,生产部,96.61,3.18,9.74,237.43,2093.0,散热系统故障
2024-05-26 03:21:00,DEV-028,生产部,45.95,1.92,11.78,214.4,2048.41,正常运行
2022-02-22 01:12:00,DEV-088,质检部,65.35,0.14,9.83,225.76,1993.46,正常运行
2022-05-31 09:34:00,DEV-006,维修部,58.57,1.99,13.75,220.98,2233.84,正常运行
2024-01-19 19:55:00,DEV-018,维修部,37.92,1.32,5.0,226.78,1751.99,正常运行
2022-12-07 18:49:00,DEV-052,生产部,57.79,0.61,7.1,231.62,2035.82,正常运行
2022-02-06 21:03:00,DEV-008,研发部,57.79,1.65,13.56,216.45,1762.92,正常运行
2024-10-13 07:17:00,DEV-039,维修部,48.49,0.0,7.57,234.35,2103.39,正常运行
2023-11-30 16:01:00,DEV-098,质检部,64.04,1.49,5.0,203.91,1801.48,正常运行
2022-08-31 04:07:00,DEV-066,维修部,60.14,0.0,12.5,222.46,2053.06,正常运行
2023-07-06 18:02:00,DEV-057,质检部,80.0,2.02,11.97,240.49,2326.15,正常运行
2023-08-19 12:54:00,DEV-079,研发部,49.06,1.7,6.64,238.78,2183.16,正常运行
2023-06-01 14:21:00,DEV-070,质检部,58.6,0.75,11.93,224.15,1869.86,正常运行
2023-03-05 14:02:00,DEV-025,生产部,63.38,1.71,5.0,239.98,2008.77,正常运行
2022-05-15 12:12:00,DEV-008,维修部,56.56,0.71,12.12,213.59,1906.32,正常运行
2023-04-20 06:35:00,DEV-058,质检部,45.18,1.48,12.44,186.94,1785.33,正常运行
2022-09-21 00:58:00,DEV-051,维修部,61.02,1.99,8.19,198.26,2209.41,正常运行
2023-01-11 00:55:00,DEV-074,维修部,57.67,0.07,9.89,242.98,1970.71,正常运行
2022-12-11 13:51:00,DEV-051,维修部,65.45,2.08,11.53,173.0,2190.5,电力供应故障
2023-12-15 23:58:00,DEV-093,维修部,70.16,1.67,9.71,211.83,2079.83,正常运行
2023-04-15 17:05:00,DEV-036,研发部,64.81,0.8,9.38,204.53,2164.47,正常运行
2024-05-15 20:30:00,DEV-085,研发部,60.71,1.19,11.23,245.75,2084.71,正常运行
2022-03-10 10:47:00,DEV-036,质检部,50.42,2.02,13.18,227.69,1985.17,正常运行
2022-07-30 16:41:00,DEV-069,维修部,56.58,2.22,10.62,226.69,2084.7,正常运行
2022-01-10 07:11:00,DEV-043,维修部,53.66,1.21,6.22,225.67,2188.38,正常运行
2024-12-05 22:34:00,DEV-053,生产部,59.26,1.35,11.78,221.49,1921.92,正常运行
2023-06-16 23:26:00,DEV-073,研发部,62.26,1.51,7.07,239.55,2132.94,正常运行
2022-10-28 22:46:00,DEV-010,生产部,52.86,0.46,13.48,212.98,2069.3,正常运行
