department,设备型号,设备名称,time,液压压力,流量,油温,振动频率,油液清洁度,status
维修部C,HP-30,HP-30-001,2023-01-10 00:00:00,171.22805791426083,70.94415839844983,57.55057096600522,10.568759662074587,88.53635861560622,正常
维修部C,HP-30,HP-30-001,2023-01-10 01:00:00,162.56709261872086,63.43966889662925,33.38465847171445,17.173224426076253,83.99852403665987,正常
维修部C,HP-30,HP-30-001,2023-01-10 02:00:00,153.2504430723696,82.89889184008064,35.15555425669962,20.92096166748726,83.14661549891262,污染故障
维修部C,HP-30,HP-30-001,2023-01-10 03:00:00,182.83553802784226,66.73013440720504,74.2972023934164,18.938389484253715,28.605513290439912,污染故障
维修部C,HP-30,HP-30-001,2023-01-10 04:00:00,103.88040487080832,90.32432182910861,78.57710494824019,16.131314049639155,32.139536895194496,污染故障
维修部C,HP-30,HP-30-001,2023-01-10 05:00:00,106.13049852181125,100.00050606135927,77.19712219120495,6.2588284095035815,13.516320261319358,污染故障
维修部C,HP-30,HP-30-001,2023-01-10 06:00:00,181.05702578502587,69.6913558066533,76.43593830077242,23.389654166428947,20.760334611170077,污染故障
维修部C,HP-30,HP-30-001,2023-01-10 07:00:00,139.3726221136105,91.24431922932541,77.30098481156398,18.749021873521432,37.95476540043464,污染故障
维修部C,HP-30,HP-30-001,2023-01-10 08:00:00,187.55910572637396,135.3140011297203,33.2355659865007,9.213445021815634,95.00309725573352,正常
维修部C,HP-30,HP-30-001,2023-01-10 09:00:00,104.86735871978098,148.5575931846112,30.86949607017276,15.31384311654868,96.66350450462747,正常
维修部C,HP-30,HP-30-001,2023-01-10 10:00:00,164.6382496725094,91.08438937742767,67.85791181868446,10.29925674388614,90.29046153228045,正常
维修部C,HP-30,HP-30-001,2023-01-10 11:00:00,184.95835365186798,137.88572056711786,58.296914879723204,19.23808500956727,91.65900066119212,正常
维修部C,HP-30,HP-30-001,2023-01-10 12:00:00,145.39563383402225,78.8204087094111,34.39889554036784,25.416153843401155,99.72636258284162,正常
维修部C,HP-30,HP-30-001,2023-01-10 13:00:00,176.19221195778914,144.08426467419764,47.14431700981614,24.935542660808306,89.18271391280112,正常
维修部C,HP-30,HP-30-001,2023-01-10 14:00:00,169.72227304500043,73.03405113119807,56.18843131662875,23.00313880274525,87.04534459356138,正常
维修部C,HP-30,HP-30-001,2023-01-10 15:00:00,192.70595549084143,74.64727995405137,31.96119915767624,16.11111511089259,95.26775165618135,正常
维修部C,HP-30,HP-30-001,2023-01-10 16:00:00,191.3861392020505,102.13158807689878,30.062509991608096,21.747715779901593,87.77291728565766,正常
维修部C,HP-30,HP-30-001,2023-01-10 17:00:00,178.08533594314957,89.53090755788517,44.61623641151055,8.155524287611547,84.0158801921629,正常
维修部C,HP-30,HP-30-001,2023-01-10 18:00:00,147.52732154796342,141.09373327727496,65.50516269773769,19.757800970685338,95.12793348166399,正常
维修部C,HP-30,HP-30-001,2023-01-10 19:00:00,138.20346472935643,60.60343733870083,36.99917430277929,13.672496877437975,91.35536747204314,正常
维修部C,HP-30,HP-30-001,2023-01-10 20:00:00,184.39661447284558,106.37847971236694,63.642967640779425,22.097446732018028,82.64075840248798,正常
维修部C,HP-30,HP-30-001,2023-01-10 21:00:00,158.17085553636372,122.74312275776087,62.13837107314943,21.06585908553252,98.24701115907595,正常
维修部C,HP-30,HP-30-001,2023-01-10 22:00:00,145.84195135738034,121.01704949233296,67.01731946065746,22.442818015131465,91.84199102185022,正常
维修部C,HP-30,HP-30-001,2023-01-10 23:00:00,124.75054140739302,118.6971270330155,35.144307514444556,14.357015678457675,91.26951100223677,正常
维修部C,HP-30,HP-30-001,2023-01-11 00:00:00,193.09432775455468,97.95548789779134,47.63185988868929,20.148470994112188,91.33298779462382,正常
生产部A,HP-30,HP-30-004,2023-01-15 00:00:00,188.16588297506294,97.83717452526076,57.7308455478882,8.835901883037996,88.4681535133538,正常
生产部A,HP-30,HP-30-004,2023-01-15 01:00:00,165.79656056141195,65.26672639094302,48.26976058393747,14.086763395434835,87.09504886256853,正常
生产部A,HP-30,HP-30-004,2023-01-15 02:00:00,113.80218919757118,57.862501894650265,37.878165101171646,25.44987228939174,95.84196495761324,正常
生产部A,HP-30,HP-30-004,2023-01-15 03:00:00,150.54745898171763,120.59017115565706,40.44237138887906,16.71598795642094,87.73024914841842,正常
生产部A,HP-30,HP-30-004,2023-01-15 04:00:00,155.2646639875793,61.03175472225251,65.9053876411334,19.253874565261956,86.88206981890345,正常
生产部A,HP-30,HP-30-004,2023-01-15 05:00:00,172.0221943870017,112.75356971745123,47.755750537956764,6.757049674073552,97.65719328650304,正常
生产部A,HP-30,HP-30-004,2023-01-15 06:00:00,142.86698512652208,122.0682989392773,52.51854696293807,10.25655752933714,84.27320965716133,正常
生产部A,HP-30,HP-30-004,2023-01-15 07:00:00,131.78689738345474,106.20363470345085,46.14056368743496,6.221312288218168,91.3307481193184,正常
生产部A,HP-30,HP-30-004,2023-01-15 08:00:00,182.21386381160676,83.21042985350009,35.84325058484256,22.37987912480441,91.92161224922012,正常
生产部A,HP-30,HP-30-004,2023-01-15 09:00:00,173.65807727853067,109.1104058190167,38.517599227328276,22.608030746001358,91.41963553605954,泵磨损
生产部A,HP-30,HP-30-004,2023-01-15 10:00:00,138.35749181541496,103.70234360411442,48.122294409481796,14.42630416628416,84.56444498817672,正常
生产部A,HP-30,HP-30-004,2023-01-15 11:00:00,163.34720834376012,63.897103562146484,31.034313910178618,9.954478087914074,86.95898110284786,正常
生产部A,HP-30,HP-30-004,2023-01-15 12:00:00,110.82629869527221,101.95766858800917,38.24770614769095,25.09185780146081,86.33307579806448,正常
