department,设备型号,设备名称,time,气压,流量,温度,湿度,露点,status
装配部,PA-40,PA-40-001,2023-01-13 00:00:00,8.109179820687116,179.35601861135243,32.0968407356564,56.85800036067227,9.047437511209168,正常
装配部,PA-40,PA-40-001,2023-01-13 01:00:00,8.215948883097143,122.70265751921826,31.364170701351295,58.89400891150169,6.509791668296897,正常
装配部,PA-40,PA-40-001,2023-01-13 02:00:00,5.426477569803161,171.3781607056239,26.54706249585712,48.66188204710044,7.918001068288685,正常
装配部,PA-40,PA-40-001,2023-01-13 03:00:00,6.192596908214569,288.92758364520233,16.017222650050464,45.56892310211321,11.8403604001004,正常
装配部,PA-40,PA-40-001,2023-01-13 04:00:00,9.505052166084242,135.55336234763595,25.178014088326673,43.74255658142131,12.738891068461328,正常
装配部,PA-40,PA-40-001,2023-01-13 05:00:00,9.500544132133184,254.8370551330214,25.374412662986355,37.47349329871852,5.82625675704452,正常
装配部,PA-40,PA-40-001,2023-01-13 06:00:00,7.119935769662831,218.45934800190253,15.493720175987228,35.49362253952454,7.1063991854353485,正常
装配部,PA-40,PA-40-001,2023-01-13 07:00:00,7.8582027945647885,160.30147725000276,20.152303490253754,38.850194139133045,14.198408798178907,正常
装配部,PA-40,PA-40-001,2023-01-13 08:00:00,7.738849033886085,248.71741881792377,14.199295015932513,39.2249394446696,13.144248867589319,正常
装配部,PA-40,PA-40-001,2023-01-13 09:00:00,7.362435664360887,124.41382685611055,14.672180544704931,49.12290662266573,9.332529301669297,正常
装配部,PA-40,PA-40-001,2023-01-13 10:00:00,5.642710811525404,214.19613103378282,31.9352894046882,55.20821458879642,7.466715277012797,正常
装配部,PA-40,PA-40-001,2023-01-13 11:00:00,8.483063397456865,274.1739047031592,18.151832060066212,37.47714160317009,12.582499960906866,正常
装配部,PA-40,PA-40-001,2023-01-13 12:00:00,7.843493018283553,240.83520807351687,34.01602232307941,56.265774318847534,14.628440512361005,正常
装配部,PA-40,PA-40-001,2023-01-13 13:00:00,8.68032255015875,279.1459299238723,23.1679957514266,52.021532956217406,10.168998324804656,正常
装配部,PA-40,PA-40-001,2023-01-13 14:00:00,7.608379784703344,137.77388014872517,32.146483609585914,60.31936981299724,14.47882664614699,正常
装配部,PA-40,PA-40-001,2023-01-13 15:00:00,5.9540696432826845,113.1106850570571,18.36623332043382,46.000956221340466,9.949670717970958,正常
装配部,PA-40,PA-40-001,2023-01-13 16:00:00,5.415248062171304,99.28639912852636,33.24164724757907,48.41157538131137,9.08923061994799,正常
气压部A,PA-40,PA-40-005,2023-01-14 00:00:00,5.799446984287642,256.97894044953006,32.919564834553576,40.92136244704349,14.267674161741159,正常
气压部A,PA-40,PA-40-005,2023-01-14 01:00:00,9.301606217954722,146.8540935630169,22.686725446455622,39.67030533226504,13.554748378047204,正常
气压部A,PA-40,PA-40-005,2023-01-14 02:00:00,6.987704319753336,213.3802056199974,26.285548747234756,44.15377235340185,5.249010292042016,正常
气压部A,PA-40,PA-40-005,2023-01-14 03:00:00,9.35136735054651,189.8486375033132,29.13999811591402,58.96775830923852,9.483649330383061,正常
